,cv_auc_mean,cv_auc_std,accuracy,precision,recall,f1,roc_auc
Regressão Logística,0.6678890239223823,0.03957997311859987,0.6020761245674741,0.5542521994134897,0.7078651685393258,0.6217105263157895,0.6173302262846683
Random Forest,0.7349836077632179,0.03162247810922321,0.6124567474048442,0.5551282051282052,0.8108614232209738,0.6590563165905632,0.6769933884894686
Gradient Boosting,0.7244067230454037,0.017845663440649667,0.6098615916955017,0.5570839064649243,0.7584269662921348,0.6423473433782713,0.6770656454351675
